ID,SOC
F01_011,5.36927
F01_013,6.373268
F01_015,5.936448
F01_017,5.780182
F01_019,5.801197
F01_021,4.602482
F01_023,4.814365
F01_025,4.827289
F01_027,4.965562
F01_029,4.872867
F01_031,4.355733
F01_033,4.372757
F01_035,4.472117
F01_037,4.529835
F01_039,4.490859
F01_041,3.815319
F01_043,3.047839
F01_045,3.480204
F01_047,3.857706
F01_049,4.097118
F06_009,3.258796
F06_011,3.469557
F06_013,3.697441
F06_015,4.056394
F06_017,4.383653
F06_019,4.236702
F06_021,3.812137
F06_023,3.961805
F06_025,4.351554
F06_027,4.661684
F06_029,3.573126
F06_031,3.997137
F06_033,3.431382
F06_035,3.925784
F06_037,4.7123
F06_039,4.247249
F06_041,4.486063
F06_New001,5.037586
F06_New002,4.928945
F08_001,6.176871
F08_002,6.194402
F08_003,6.084592
F08_004,5.305721
F08_005,6.98603
F08_006,6.242
F08_007,5.999343
F08_008,6.692252
F08_009,6.739404
F08_010,7.040126
F08_011,6.432369
F08_012,5.952289
