Sample,Slope,Elevation,TWI
F01_001,12.3646,184.069,5.447745304
F01_003,13.50437,183.099,6.052202895
F01_005,13.73014,184.68001,5.804745178
F01_007,13.73014,184.68001,5.804745178
F01_009,14.66653,186.00301,5.751161035
F01_011,9.16957,176.175,7.055111306
F01_013,9.77474,167.789,7.448752728
F01_015,11.94652,171.07701,7.098247705
F01_017,12.40672,171.373,7.04958213
F01_019,13.87379,170.71201,6.64100025
F01_021,6.95003,161.93001,8.08653434
F01_023,7.46427,162.67601,8.031207854
F01_025,6.83161,162.18802,8.156817025
F01_027,7.35908,163.052,7.892743512
F01_029,6.79658,157.91301,8.178582596
F01_031,6.45752,157.821,8.47394453
F01_033,3.70793,157.701,9.064637038
F01_035,4.78878,155.11801,8.853231582
F01_037,3.98984,151.81601,9.325844587
F01_039,3.23643,155.26601,9.419845177
F01_041,4.94553,153.561,8.998310332
F01_043,4.10813,151.53401,9.356327882
F01_045,5.06659,152.17101,9.142482799
F01_047,3.45337,152.246,9.535774854
F01_049,5.48952,150.67601,9.13321703
F06_009,3.46304,136.17801,7.531739203
F06_011,5.40291,138.02501,7.039361782
F06_013,4.20776,139.431,6.781864802
F06_015,1.30097,141.084,7.253181695
F06_017,0.41597,140.854,8.858649911
F06_019,1.61754,140.24501,7.436542442
F06_021,3.70684,139.88901,6.613019942
F06_023,2.66037,139.229,8.796791164
F06_025,1.02801,140.433,9.181644905
F06_027,2.29569,139.978,8.131909098
F06_029,3.29024,138.10201,8.074557203
F06_031,3.89609,135.82701,8.483108327
F06_033,3.57794,138.15601,8.227453071
F06_035,3.64715,139.41301,8.110057165
F06_037,2.42419,139.849,8.480676758
F06_039,1.69578,139.83701,9.189472889
F06_041,0.83776,139.24701,10.18876853
F06_New001,1.41752,140.5,8.565664841
F06_New002,2.24593,140.341,8.193278503
F08_001,3.30917,125.5,8.438708724
F08_002,4.97243,126.59,7.832537278
F08_003,3.99999,126.756,8.023893138
F08_004,3.45797,126.061,8.119172894
F08_005,4.79899,127.529,7.703542561
F08_006,2.34524,127.973,8.249447174
F08_007,3.75148,127.30199,7.816946326
F08_008,2.83199,128.08701,7.97294552
F08_009,2.31445,128.90901,7.906986087
F08_010,3.3944,129.94101,6.962626598
F08_011,5.19203,129.63501,6.600291765
F08_012,4.24004,126.62099,7.476368122
F06_035A,2.60019,139.541,8.414917857
